event,sensor_id,time,charge
70,6,0,356
70,6,1,10
70,26,0,698
70,26,1,15
70,26,2,1
70,9,0,383
70,9,1,5
70,9,2,1
70,23,0,340
70,23,1,10
70,15,0,291
70,15,1,5
70,15,2,1
70,2,0,327
70,2,1,6
70,2,2,1
70,44,0,960
70,44,1,21
70,58,0,411
70,58,1,7
70,33,0,542
70,33,1,11
70,33,2,1
70,1,0,330
70,1,1,9
70,46,0,492
70,46,1,14
70,46,2,1
70,35,0,1255
70,35,1,40
70,35,2,1
70,11,0,411
70,11,1,16
70,20,0,665
70,20,1,21
70,4,0,329
70,4,1,9
70,41,0,510
70,41,1,8
70,41,2,1
70,32,0,364
70,32,1,5
70,27,0,968
70,27,1,21
70,27,2,2
70,12,0,419
70,12,1,13
70,48,0,318
70,48,1,7
70,52,0,673
70,52,1,19
70,60,0,439
70,60,1,11
70,18,0,586
70,18,1,13
70,18,2,1
70,21,0,548
70,21,1,20
70,49,0,382
70,49,1,11
70,37,0,821
70,37,1,15
70,37,2,2
70,36,0,1241
70,36,1,19
70,36,2,1
70,51,0,677
70,51,1,13
70,51,2,1
70,42,0,758
70,42,1,13
70,34,0,853
70,34,1,22
70,10,0,361
70,10,1,11
70,53,0,491
70,53,1,14
70,53,2,1
70,43,0,965
70,43,1,20
70,43,2,1
70,31,0,343
70,31,1,5
70,17,0,402
70,17,1,8
70,63,0,301
70,63,1,12
70,8,0,308
70,8,1,6
70,8,2,1
70,39,0,379
70,39,1,9
70,19,0,656
70,19,1,13
70,19,2,1
70,29,0,747
70,29,1,19
70,29,2,1
70,30,0,565
70,30,1,18
70,13,0,359
70,13,1,7
70,56,0,338
70,56,1,10
70,56,2,1
70,16,0,326
70,16,1,8
70,54,0,396
70,54,1,12
70,45,0,699
70,45,1,19
70,45,2,1
70,3,0,343
70,3,1,6
70,38,0,558
70,38,1,12
70,38,2,1
70,28,0,1026
70,28,1,25
70,40,0,324
70,40,1,12
70,47,0,395
70,47,1,7
70,47,2,1
70,25,0,500
70,25,1,9
70,50,0,538
70,50,1,12
70,55,0,357
70,55,1,7
70,57,0,364
70,57,1,4
70,62,0,337
70,62,1,13
70,62,2,1
70,61,0,373
70,61,1,8
70,24,0,346
70,24,1,4
70,5,0,358
70,5,1,10
70,59,0,362
70,59,1,13
70,14,0,336
70,14,1,8
70,22,0,374
70,22,1,10
70,7,0,315
70,7,1,10
70,0,0,267
70,0,1,11
60,49,0,933
60,49,1,26
60,23,0,312
60,23,1,4
60,28,0,500
60,28,1,17
60,35,0,706
60,35,1,13
60,35,2,1
60,19,0,430
60,19,1,11
60,22,0,350
60,22,1,7
60,40,0,783
60,40,1,22
60,40,2,2
60,26,0,633
60,26,1,22
60,36,0,573
60,36,1,17
60,37,0,465
60,37,1,8
60,27,0,545
60,27,1,24
60,17,0,463
60,17,1,5
60,58,0,769
60,58,1,19
60,50,0,1015
60,50,1,19
60,29,0,381
60,29,1,14
60,41,0,943
60,41,1,22
60,41,2,1
60,6,0,305
60,6,1,6
60,33,0,821
60,33,1,20
60,38,0,338
60,38,1,8
60,38,2,1
60,43,0,807
60,43,1,22
60,57,0,808
60,57,1,20
60,32,0,653
60,32,1,18
60,62,0,314
60,62,1,12
60,45,0,479
60,45,1,11
60,53,0,441
60,53,1,11
60,53,2,1
60,31,0,328
60,31,1,7
60,31,2,1
60,4,0,351
60,4,1,8
60,13,0,316
60,13,1,6
60,8,0,334
60,8,1,11
60,8,2,2
60,48,0,744
60,48,1,13
60,25,0,608
60,25,1,9
60,51,0,804
60,51,1,22
60,51,2,1
60,11,0,339
60,11,1,8
60,2,0,352
60,2,1,7
60,2,2,1
60,63,0,310
60,63,1,7
60,9,0,346
60,9,1,13
60,34,0,877
60,34,1,22
60,18,0,405
60,18,1,14
60,18,2,1
60,42,0,972
60,42,1,17
60,0,0,312
60,0,1,8
60,0,2,1
60,16,0,395
60,16,1,13
60,21,0,373
60,21,1,6
60,7,0,308
60,7,1,9
60,56,0,643
60,56,1,16
60,44,0,638
60,44,1,15
60,5,0,307
60,5,1,10
60,5,2,1
60,24,0,537
60,24,1,18
60,60,0,535
60,60,1,14
60,10,0,375
60,10,1,5
60,15,0,296
60,15,1,7
60,15,2,1
60,54,0,379
60,54,1,11
60,59,0,718
60,59,1,20
60,59,2,1
60,30,0,344
60,30,1,5
60,30,2,1
60,12,0,401
60,12,1,6
60,47,0,327
60,47,1,9
60,1,0,307
60,1,1,17
60,14,0,338
60,14,1,14
60,55,0,335
60,55,1,8
60,39,0,363
60,39,1,5
60,61,0,401
60,61,1,10
60,61,2,1
60,46,0,355
60,46,1,6
60,52,0,629
60,52,1,18
60,52,2,1
60,20,0,363
60,20,1,10
60,3,0,363
60,3,1,13
0,14,0,561
0,14,1,17
0,4,0,650
0,4,1,17
0,4,2,1
0,2,0,640
0,2,1,22
0,2,2,1
0,52,0,452
0,52,1,6
0,52,2,1
0,50,0,460
0,50,1,10
0,22,0,563
0,22,1,18
0,28,0,629
0,28,1,15
0,6,0,489
0,6,1,11
0,45,0,489
0,45,1,6
0,61,0,344
0,61,1,6
0,17,0,613
0,17,1,16
0,38,0,488
0,38,1,12
0,38,2,1
0,35,0,582
0,35,1,10
0,20,0,736
0,20,1,15
0,54,0,355
0,54,1,7
0,12,0,732
0,12,1,22
0,26,0,647
0,26,1,8
0,46,0,420
0,46,1,14
0,46,3,1
0,13,0,633
0,13,1,13
0,13,2,1
0,29,0,615
0,29,1,9
0,11,0,826
0,11,1,24
0,43,0,490
0,43,1,12
0,43,2,1
0,18,0,687
0,18,1,11
0,60,0,348
0,60,1,10
0,60,2,1
0,47,0,381
0,47,1,9
0,47,2,1
0,36,0,538
0,36,1,12
0,8,0,507
0,8,1,12
0,31,0,405
0,31,1,7
0,33,0,489
0,33,1,12
0,25,0,578
0,25,1,14
0,25,2,1
0,30,0,535
0,30,1,10
0,42,0,497
0,42,1,15
0,53,0,374
0,53,1,6
0,1,0,536
0,1,1,17
0,59,0,378
0,59,1,12
0,32,0,453
0,32,1,10
0,49,0,364
0,49,1,5
0,10,0,750
0,10,1,13
0,56,0,304
0,56,1,7
0,3,0,680
0,3,1,16
0,3,2,1
0,19,0,769
0,19,1,15
0,19,2,1
0,23,0,490
0,23,1,8
0,62,0,316
0,62,1,12
0,16,0,519
0,16,1,17
0,39,0,400
0,39,1,17
0,21,0,639
0,21,1,23
0,63,0,317
0,63,1,9
0,63,2,1
0,5,0,604
0,5,1,11
0,34,0,575
0,34,1,17
0,34,2,1
0,15,0,513
0,15,1,9
0,15,2,3
0,41,0,439
0,41,1,8
0,48,0,332
0,48,1,12
0,9,0,603
0,9,1,15
0,0,0,459
0,0,1,11
0,24,0,516
0,24,1,14
0,55,0,302
0,55,1,9
0,44,0,489
0,44,1,12
0,7,0,407
0,7,1,14
0,27,0,678
0,27,1,22
0,40,0,384
0,40,1,8
0,51,0,459
0,51,1,17
0,58,0,373
0,58,1,11
0,57,0,359
0,57,1,5
0,57,2,1
0,37,0,481
0,37,1,13
40,19,0,722
40,19,1,18
40,19,2,1
40,51,0,382
40,51,1,4
40,9,0,1005
40,9,1,23
40,9,2,1
40,30,0,397
40,30,1,11
40,2,0,818
40,2,1,19
40,2,2,1
40,0,0,662
40,0,1,22
40,58,0,350
40,58,1,1
40,1,0,847
40,1,1,20
40,1,2,2
40,53,0,348
40,53,1,10
40,41,0,460
40,41,1,7
40,41,2,1
40,36,0,460
40,36,1,14
40,36,2,1
40,52,0,351
40,52,1,10
40,52,2,1
40,16,0,759
40,16,1,10
40,22,0,404
40,22,1,13
40,22,2,2
40,25,0,743
40,25,1,18
40,25,2,1
40,39,0,371
40,39,1,10
40,44,0,410
40,44,1,12
40,43,0,465
40,43,1,6
40,11,0,767
40,11,1,17
40,4,0,494
40,4,1,14
40,63,0,307
40,63,1,11
40,17,0,905
40,17,1,22
40,8,0,783
40,8,1,13
40,8,2,1
40,13,0,477
40,13,1,17
40,35,0,516
40,35,1,16
40,31,0,358
40,31,1,8
40,10,0,921
40,10,1,26
40,10,2,2
40,33,0,602
40,33,1,17
40,42,0,529
40,42,1,13
40,42,2,1
40,21,0,479
40,21,1,14
40,21,2,1
40,12,0,616
40,12,1,12
40,12,2,1
40,20,0,614
40,20,1,8
40,38,0,379
40,38,1,6
40,32,0,487
40,32,1,10
40,55,0,308
40,55,1,11
40,27,0,608
40,27,1,18
40,18,0,884
40,18,1,15
40,6,0,349
40,6,1,5
40,49,0,403
40,49,1,5
40,28,0,536
40,28,1,12
40,14,0,375
40,14,1,10
40,3,0,669
40,3,1,16
40,34,0,585
40,34,1,17
40,40,0,424
40,40,1,12
40,45,0,373
40,45,1,10
40,37,0,436
40,37,1,9
40,15,0,348
40,15,1,8
40,15,2,1
40,24,0,658
40,24,1,12
40,54,0,348
40,54,1,10
40,61,0,361
40,61,1,9
40,29,0,477
40,29,1,7
40,57,0,356
40,57,1,9
40,23,0,322
40,23,1,11
40,26,0,729
40,26,1,10
40,7,0,303
40,7,1,9
40,62,0,336
40,62,1,7
40,60,0,333
40,60,1,7
40,48,0,318
40,48,1,7
40,56,0,304
40,56,1,4
40,56,3,1
40,47,0,358
40,47,1,7
40,5,0,404
40,5,1,9
40,46,0,384
40,46,1,4
40,50,0,347
40,50,1,10
40,50,2,1
40,59,0,339
40,59,1,9
50,13,0,849
50,13,1,19
50,2,0,391
50,2,1,7
50,6,0,661
50,6,1,13
50,29,0,848
50,29,1,23
50,46,0,500
50,46,1,8
50,46,2,1
50,28,0,781
50,28,1,16
50,28,2,1
50,43,0,443
50,43,1,13
50,42,0,407
50,42,1,9
50,39,0,553
50,39,1,14
50,39,2,1
50,7,0,574
50,7,1,12
50,1,0,346
50,1,1,4
50,4,0,617
50,4,1,9
50,4,2,1
50,33,0,352
50,33,1,10
50,53,0,413
50,53,1,13
50,52,0,440
50,52,1,12
50,23,0,716
50,23,1,15
50,60,0,335
50,60,1,5
50,12,0,762
50,12,1,23
50,12,2,1
50,22,0,861
50,22,1,25
50,22,2,2
50,14,0,839
50,14,1,28
50,45,0,519
50,45,1,14
50,31,0,665
50,31,1,20
50,18,0,486
50,18,1,15
50,20,0,790
50,20,1,16
50,26,0,483
50,26,1,4
50,26,2,1
